                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2399,                 2.5004,                 2.6119,                0.14388,                0.15789,                 0.1308,                0.04075,                 2.4346,                 2.7995,                 2.9631,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.1916,                 2.4537,                 2.5648,                0.18529,                0.31579,                0.16835,                0.05675,                 2.4104,                 2.5823,                 2.8512,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.2349,                 2.5039,                 2.5347,                 0.1744,                0.26316,                0.11835,                0.03485,                 2.4641,                 2.8566,                 2.8294,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.1904,                 2.5272,                 2.5061,                0.13588,                0.31579,                0.09689,                0.02954,                 2.4399,                 2.8681,                 2.7363,               0.001769,               0.001769,               0.001769
                     38,                  2.303,                 2.5294,                 2.5773,                0.25682,                0.30945,                0.19787,                0.06045,                   2.18,                 3.4457,                 2.5922,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.2113,                 2.4128,                 2.4727,                 0.1224,                0.36842,                0.08226,                0.02702,                 2.3604,                 3.1549,                 2.7599,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.2715,                 2.6001,                 2.5731,                0.20547,                0.57895,                0.21927,                0.09593,                  2.246,                 2.6269,                 2.5715,              0.0017492,              0.0017492,              0.0017492
                     41,                 2.2298,                 2.6183,                 2.5571,                0.07335,                0.26316,                0.14878,                0.04201,                 2.2993,                 2.7764,                 2.6418,              0.0017426,              0.0017426,              0.0017426
                     42,                 2.1458,                 2.4745,                 2.4695,                0.12416,                0.52632,                0.15622,                0.06256,                 2.2791,                 2.3535,                 2.5893,               0.001736,               0.001736,               0.001736
                     43,                 2.1623,                  2.403,                 2.4622,                 0.1932,                0.36842,                0.16937,                0.05895,                 2.3812,                 2.5621,                 2.8204,              0.0017294,              0.0017294,              0.0017294
                     44,                 2.1717,                  2.568,                 2.4919,                0.17083,                0.31579,                0.16616,                0.05524,                 2.3611,                 2.4523,                 2.6239,              0.0017228,              0.0017228,              0.0017228
                     45,                 2.1743,                 2.3378,                 2.4361,                0.44225,                0.36842,                0.29147,                0.07501,                 2.2024,                 2.4175,                 2.5035,              0.0017162,              0.0017162,              0.0017162
                     46,                 2.2067,                  2.404,                  2.493,                0.09807,                0.39503,                0.09771,                 0.0395,                  2.373,                 2.9813,                 2.7389,              0.0017096,              0.0017096,              0.0017096
                     47,                 2.1416,                 2.4671,                 2.4814,                0.28714,                0.36842,                 0.2158,                0.06029,                 2.3639,                 2.5419,                 2.6784,               0.001703,               0.001703,               0.001703
                     48,                 2.1035,                 2.4287,                 2.4444,                0.20348,                0.42105,                0.17151,                0.06225,                 2.2558,                 2.8037,                 2.7706,              0.0016964,              0.0016964,              0.0016964
                     49,                 2.0648,                 2.4198,                 2.3906,                0.19769,                0.21053,                0.21753,                0.08717,                 2.1481,                 2.5844,                 2.6043,              0.0016898,              0.0016898,              0.0016898
                     50,                 2.1234,                 2.4212,                 2.4025,                0.14577,                0.26316,                0.13197,                0.03626,                 2.4782,                 2.6267,                 2.7478,              0.0016832,              0.0016832,              0.0016832
                     51,                 2.1746,                 2.3936,                 2.4371,                0.32137,                0.36842,                0.24919,                0.08375,                 2.1583,                 2.3452,                 2.5333,              0.0016766,              0.0016766,              0.0016766
                     52,                 2.1548,                 2.3718,                 2.4216,                0.24544,                0.36842,                0.23401,                0.07848,                  2.384,                 2.6164,                 2.7439,                0.00167,                0.00167,                0.00167
                     53,                 2.1229,                 2.3519,                 2.4082,                0.35587,                0.47368,                0.30017,                0.11583,                 2.1997,                 2.4682,                 2.6115,              0.0016634,              0.0016634,              0.0016634
                     54,                 2.1251,                 2.4162,                  2.442,                0.24503,                0.47368,                0.21394,                 0.0806,                 2.2114,                 2.4293,                 2.5883,              0.0016568,              0.0016568,              0.0016568
                     55,                 2.0859,                 2.3515,                 2.4196,                0.30384,                0.52632,                0.23955,                0.06067,                 2.2903,                 2.3256,                 2.5796,              0.0016502,              0.0016502,              0.0016502
                     56,                 2.0673,                 2.3207,                  2.385,                 0.2641,                0.26316,                0.21499,                0.06989,                 2.1865,                 2.4222,                 2.5824,              0.0016436,              0.0016436,              0.0016436
                     57,                  2.121,                 2.3273,                 2.3856,                0.24272,                0.21053,                0.19814,                0.07808,                 2.3283,                 2.5421,                 2.6807,               0.001637,               0.001637,               0.001637
                     58,                 2.0479,                 2.3445,                 2.3896,                0.27084,                0.42105,                0.20771,                0.07153,                 2.2441,                 2.5197,                 2.5363,              0.0016304,              0.0016304,              0.0016304
                     59,                 2.0477,                 2.3097,                 2.3815,                0.36688,                0.42105,                0.30154,                0.09996,                 2.1237,                 2.4154,                 2.4186,              0.0016238,              0.0016238,              0.0016238
                     60,                 2.1481,                 2.3565,                 2.4068,                 0.2963,                0.36842,                0.25061,                0.10079,                 2.1117,                 2.5144,                 2.3953,              0.0016172,              0.0016172,              0.0016172
                     61,                 2.1167,                 2.4129,                 2.3797,                0.15508,                0.26316,                0.21143,                0.06958,                 2.4351,                 3.1576,                 2.8971,              0.0016106,              0.0016106,              0.0016106
                     62,                 2.0501,                  2.357,                 2.3241,                0.17244,                0.21053,                0.12195,                0.06074,                 2.3361,                 2.9376,                 2.6434,               0.001604,               0.001604,               0.001604
                     63,                 2.0416,                 2.3053,                 2.3431,                0.22205,                0.21053,                0.18621,                0.06091,                 2.3498,                 2.5637,                 2.5843,              0.0015974,              0.0015974,              0.0015974
                     64,                 2.0083,                 2.3458,                 2.3398,                 0.1299,                0.15789,                0.14426,                0.03651,                 2.4724,                 2.6614,                 2.6818,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.9786,                 2.3029,                 2.3093,                0.31926,                0.46914,                0.22653,                 0.0709,                  2.189,                 2.4519,                 2.5269,              0.0015842,              0.0015842,              0.0015842
                     66,                 2.0756,                 2.2994,                 2.3608,                0.36631,                0.36526,                0.23504,                0.08991,                 2.0472,                 2.3935,                 2.4555,              0.0015776,              0.0015776,              0.0015776
                     67,                 2.0539,                 2.3515,                 2.3515,                0.29122,                0.36842,                0.16922,                0.05157,                 2.1755,                 2.6996,                 2.5969,               0.001571,               0.001571,               0.001571
                     68,                 2.0446,                  2.374,                 2.3594,                0.18783,                0.42105,                0.21383,                0.07062,                 2.2459,                  2.639,                 2.6116,              0.0015644,              0.0015644,              0.0015644
                     69,                 2.0438,                 2.3114,                 2.3509,                0.25598,                0.52632,                0.25255,                0.09323,                 2.0564,                 3.3685,                  2.392,              0.0015578,              0.0015578,              0.0015578
                     70,                  2.007,                 2.2481,                 2.2878,                0.23258,                0.42105,                0.22662,                0.07839,                 2.2913,                  2.374,                 2.5019,              0.0015512,              0.0015512,              0.0015512
                     71,                 2.0238,                 2.3158,                  2.326,                0.35487,                0.36842,                0.32302,                0.09528,                 2.0807,                 2.3846,                   2.38,              0.0015446,              0.0015446,              0.0015446
                     72,                 2.0211,                 2.2184,                 2.2905,                0.41763,                0.47368,                0.37343,                0.12163,                 2.3195,                  2.391,                 2.5809,               0.001538,               0.001538,               0.001538
                     73,                 2.0115,                 2.3296,                 2.3178,                0.49269,                0.40951,                 0.3435,                0.09886,                 2.2273,                 2.6798,                  2.611,              0.0015314,              0.0015314,              0.0015314
